Rank	Team	Name	Medal	Total	A	B	C
1	HKG	Leung Harris 	Gold	266	66	100	100
2	JPN	Daiki Kodama 	Gold	247	47	100	100
3	IRN	Mehrdad Sohrabi 	Gold	236	36	100	100
3	ISR	Almog Wald 	Gold	236	36	100	100
5	RUS	Timofei Fedoseev 	Gold	232	32	100	100
6	CHN	Hangrui Zhou 	Gold	230	30	100	100
7	CHN	Linhan Xie 	Gold	222	41	81	100
8	CHN	Shaoxuan Tang 	Gold	220	20	100	100
8	VNM	Le Quang Huy 	Gold	220	20	100	100
8	JPN	Yuki Tanaka 	Gold	220	20	100	100
11	CHN	Yang Hu 	Gold	212	12	100	100
12	VNM	Truong Van Quoc Bao 	Gold	211	11	100	100
13	CHN	Hongyi Wang 	Gold	209	9	100	100
13	TWN	Elliot En-Yi Liu 	Gold	209	9	100	100
13	CHN	Kai Luo 	Gold	209	9	100	100
13	CHN	Yuran Xiu 	Gold	209	9	100	100
13	CHN	Ruize Sun 	Gold	209	9	100	100
13	CHN	Xiangwen Wang 	Gold	209	9	100	100
13	IDN	Rama Aryasuta Pangestu 	Gold	209	9	100	100
13	CHN	Zunzhe Zhang 	Gold	209	9	100	100
13	CHN	Yifei Pan 	Gold	209	9	100	100
13	IRN	Ali Shahali 	Gold	209	9	100	100
13	IRN	Ali Safary 	Gold	209	9	100	100
24	IDN	Nicholas Patrick 	Silver	203	30	100	73
25	SGP	Ashley Aragorn Khoo 	Silver	200	47	100	53
25	IDN	Pikatan Arya Bramajati 	Silver	200	0	100	100
25	RUS	Anton Sadovnichiy 	Silver	200	0	100	100
28	ISR	Inbar Wald 	Silver	187	9	100	78
29	JPN	Ryomei Sugai 	Silver	183	47	100	36
29	KOR	Ditbul Ban 	Silver	183	47	100	36
29	RUS	Vsevolod Nagibin 	Silver	183	47	100	36
32	TUR	Ahmet Atilla Ak 	Silver	181	0	81	100
32	IRN	Seyed AmirMohammad Shahrezaei 	Silver	181	0	81	100
34	RUS	Danila Usachev 	Silver	173	36	37	100
35	VNM	Ho Ngoc Vinh Phat 	Silver	172	36	100	36
36	IND	Kshitij Sodani 	Silver	169	9	60	100
37	RUS	Denis Mustafin 	Silver	164	47	81	36
38	EGY	Osama Alkhodairy 	Silver	162	9	100	53
38	RUS	Mikhail Savvateev 	Silver	162	9	100	53
40	KAZ	Mansur Mukimbekov 	Silver	160	0	60	100
41	SGP	Tan Si Jie 	Silver	157	21	100	36
42	SGP	Shen Xing Yang 	Silver	156	20	100	36
42	IND	Udit Sanghi 	Silver	156	20	100	36
44	MNG	Nymdavaa Amar 	Silver	148	0	48	100
45	KOR	Hongyoon Mun 	Silver	146	9	37	100
45	KOR	Seohyun Choi 	Silver	146	9	37	100
45	IDN	Juan Carlo Vieri 	Silver	146	41	100	5
48	JPN	Yui Tamura 	Silver	145	9	100	36
49	TWN	Bo-Ye Wu 	Silver	143	47	60	36
50	KAZ	Zhambyl Maksotov 	Silver	140	3	37	100
51	KOR	Daniel Choi 	Silver	137	20	81	36
51	TWN	Hsin-Wei Hou 	Silver	137	20	81	36
51	KOR	Geunyoung Jang 	Silver	137	20	81	36
51	TWN	Jhao-Syun Lai 	Silver	137	20	81	36
51	AUS	James King 	Silver	137	0	37	100
51	JPN	Akira Namekata 	Silver	137	20	81	36
57	EGY	Mohamed Ahmed Bakry 	Silver	136	0	100	36
57	GEO	Luka Mosiashvili 	Silver	136	0	100	36
59	JOR	wesam ibrahim naseer 	Bronze	132	20	100	12
60	SGP	Li Yue Chen 	Bronze	131	14	81	36
60	TWN	Chen Kai Chang 	Bronze	131	14	81	36
62	TWN	Chung-Chun Huang 	Bronze	129	0	100	29
63	MAC	Cheng U Ian 	Bronze	127	20	81	26
64	SGP	Ryan See Weixuan 	Bronze	126	9	81	36
64	SGP	Lim Rui Yuan 	Bronze	126	9	81	36
64	KOR	Seokhyeon Jung 	Bronze	126	9	81	36
64	KOR	Hyunseo Ro 	Bronze	126	9	81	36
64	VNM	Nguyen Vu Dang Huy 	Bronze	126	9	81	36
64	SGP	Yaw Chur Zhe 	Bronze	126	9	81	36
64	SGP	James Sng 	Bronze	126	9	81	36
64	HKG	Xie Lingrui 	Bronze	126	9	81	36
64	IDN	Bryan Riconga Panjinata 	Bronze	126	9	81	36
64	GEO	Nika Tamliani 	Bronze	126	9	81	36
64	HKG	Lee Cheuk Kit 	Bronze	126	9	81	36
64	JPN	Keito Agetsuma 	Bronze	126	9	81	36
64	ISR	Lior Yehezkely 	Bronze	126	9	81	36
77	IRN	Sina Mahdavi 	Bronze	120	3	81	36
78	EGY	Hazem Tarek Issa 	Bronze	117	0	81	36
78	IND	Shiven Sinha 	Bronze	117	0	81	36
78	TJK	Muhammadjon Hokimiyon 	Bronze	117	0	81	36
81	IND	Shashwat Chandra 	Bronze	115	0	37	78
82	ARM	Aleksandr Abelyan 	Bronze	114	0	100	14
82	GEO	Giorgi Chkhaidze 	Bronze	114	9	100	5
84	VNM	Dao Duy Anh 	Bronze	112	0	100	12
84	SAU	Fares Ibraheem Faisal Pasuni 	Bronze	112	0	100	12
86	KAZ	Almaz Shinbay 	Bronze	110	14	60	36
87	VNM	Tran Xuan Bach 	Bronze	109	36	37	36
87	IND	Mohit Hulse 	Bronze	109	36	37	36
87	IDN	Maximilliano Utomo Quok 	Bronze	109	36	37	36
87	AUS	Joshua Chen 	Bronze	109	36	37	36
91	GEO	Ketevan Tsimakuridze 	Bronze	105	9	60	36
91	HKG	Hsieh Chong Ho 	Bronze	105	0	100	5
91	IRN	Alireza Kaviani 	Bronze	105	0	81	24
94	HKG	Chau Lai Yin 	Bronze	102	36	37	29
95	ARM	Arayi Khalatyan 	Bronze	100	0	100	0
95	IND	Ritam Nag 	Bronze	100	0	100	0
95	THA	Papon Lapate 	Bronze	100	0	100	0
98	KAZ	Taimas Korganbayev  	Bronze	99	3	60	36
98	TUR	Ahmet Kaan Avci 	Bronze	99	9	37	53
100	HKG	Lee Po Wa 	Bronze	96	47	37	12
101	KGZ	Artur Aidarov 	Bronze	93	0	81	12
101	KAZ	Arsen Muzhikov 	Bronze	93	0	81	12
103	KAZ	Ashurov Altair 	Bronze	87	14	37	36
104	SYR	Bernard Ibrahimcha 	Bronze	85	36	37	12
104	THA	Warat Palpai 	Bronze	85	36	37	12
104	ISR	Alon Tanay 	Bronze	85	36	37	12
107	KGZ	Islam Davletov 	Bronze	84	0	48	36
107	MYS	Chew Shao Qian 	Bronze	84	11	37	36
109	BGD	Md Nafis Ul Haque Shifat 	Participant	82	9	37	36
109	UZB	Khujaqulov Dilshodbek 	Participant	82	9	37	36
109	SYR	Ali Mansour 	Participant	82	9	37	36
109	MYS	Loh Kwong Weng 	Participant	82	9	37	36
109	AUS	Evan Lin 	Participant	82	9	37	36
109	ISR	Gonen Gazit 	Participant	82	9	37	36
109	ISR	Yoav Katz 	Participant	82	9	37	36
109	ISR	Elazar Koren 	Participant	82	9	37	36
109	SYR	Mohammad Nour Massri 	Participant	82	9	37	36
118	PSE	Nicola AbuSaad 	Participant	81	9	60	12
118	EGY	Ahmad Said Moursi 	Participant	81	0	81	0
118	GEO	Luka Meladze 	Participant	81	9	60	12
121	TKM	Suleyman Atayev 	Participant	76	3	37	36
122	BGD	Arman Ferdous 	Participant	73	0	37	36
122	MAC	Tongsam Zheng 	Participant	73	36	25	12
122	BGD	Jarif Rahman 	Participant	73	0	37	36
122	ARM	Hamlet Petrosyan 	Participant	73	0	37	36
122	TKM	Gurbanberdi Gulladyyev 	Participant	73	0	37	36
122	TUR	Fatih Solak 	Participant	73	0	37	36
122	TJK	Dilshod Imomov 	Participant	73	0	37	36
122	GEO	Giorgi Nadareishvili 	Participant	73	0	37	36
130	THA	Peerakarn Thongsata 	Participant	72	9	37	26
131	AZE	Aziz Huseynov 	Participant	69	20	37	12
131	AUS	Arthur Sun 	Participant	69	0	33	36
133	BGD	Mamnoon Siam 	Participant	68	0	37	31
134	BGD	Farhan Ahmad 	Participant	66	3	37	26
135	LKA	Lakshith Nishshanke 	Participant	61	0	25	36
135	TJK	Habibullo Assoev 	Participant	61	0	25	36
137	THA	Teetat Wisanuyotin 	Participant	58	9	37	12
137	KGZ	Tengiz Bekkoyonov 	Participant	58	9	37	12
137	THA	Phumipat Chaiprasertsud 	Participant	58	9	37	12
137	KGZ	Beksultan Almazbekov 	Participant	58	9	37	12
137	AZE	Amin Jalilov 	Participant	58	9	37	12
137	THA	Mr. Kanin Suphap 	Participant	58	9	37	12
137	SYR	Philip Aji 	Participant	58	9	37	12
137	SYR	Beshr Islam Bouli 	Participant	58	9	37	12
137	SYR	Abdulrahman Ahdali 	Participant	58	9	37	12
137	THA	Thanapon Maiseaumsook 	Participant	58	9	37	12
137	AZE	Fidan Huseynova 	Participant	58	9	37	12
137	THA	Touch Sungkawichai 	Participant	58	9	37	12
137	BGD	Debojoti Das Soumya 	Participant	58	9	37	12
137	THA	Pakarin Leetrairong 	Participant	58	9	37	12
137	THA	Thitrin Sastarasadhit 	Participant	58	9	37	12
137	KGZ	Daniyar Beishekeev 	Participant	58	9	37	12
137	TUR	Taha Ensar Kukul 	Participant	58	9	37	12
